salina-chamber	active	2026-06-16	news	https://salinasun.online/135-years-of-compassion-springer-turner-funeral-home-recognized-by-chamber/	Salina Sun dated 2026-06-16 reports North Sevier Chamber named Springer Turner Funeral Home Business of the Quarter; the wiki listing points at city hall, but the live chamber work is North Sevier Chamber monthly recognition.
salt-lake-angels	active	2026-02-03	event	https://www.utahmoneywatch.com/what-will-you-be-doing-one-week-from-today-to-celebrate-utahs-unique-tech-ecosystem/	Utah Money Watch 2026-01-26 lists Tuesday Feb 3 2026 Utah Start-up All-Stars Pitch Night produced by SLC Angels and others at Pelion; official slcangels.org itself has no current-cycle date.
salt-lake-chamber	active	2026-08-25	event	https://slchamber.com/events-programs/signature-events/annual-meeting/	Official Annual Meeting page schedules the 2026 Awards Luncheon for August 25 2026 at Loveland Living Planet Aquarium with named honorees.
salt-lake-city-office-space-for-rent	unknown				Offices.co SLC listings page and individual building pages have no dates; searches found no dated update, fee schedule, or news showing the directory is still being maintained; a 200 is not a signal.
salt-lake-community-college-slcc-the-mill	active	2025-12-16	event	https://themillatslcc.com/event/starting-your-business-101-online-15/	Official Mill calendar lists Starting Your Business 101 on December 16 2025 and still shows upcoming August Vibe Code Club and 1 Million Cups sessions hosted at The Mill.
salt-mine	active	2026-06-16	news	https://www.southvalleychamber.com/2026/06/16/2026-titan-awards-recipients-announced/	South Valley Chamber June 16 2026 release quotes David Edmunds as founder of Salt Mine Productive Workspace and co-chair of its small-business committee; homepage still bills 2025 Small Business of the Year.
san-juan-county-chamber-of-commerce	active	2025-06-13	news	https://startup.utah.gov/san-juan-chambers-revival-marks-a-turning-point-in-rural-utah/	Startup State June 13 2025 reports the revived chamber is accepting members with a new website and dues; memberships page lists current $120/$75/$50 tiers but no dated event calendar was found.
san-juan-county-economic-development	active	2026-03-03	filing	https://mccmeetings.blob.core.usgovcloudapi.net/sanjuancut-pubu/MEET-Agenda-de8ac376fe5445078f72e51366df5dd7.pdf	March 3 2026 commission agenda has ED manager Talia Hansen items for 2026 Rural County Grant recipient MOUs and the 2026 Business Basecamp conference; the sjcutaheconomicdevelopment.com site is an undated placeholder.
sanpete-chamber-of-commerce	active	2026-06-04	official-page-dated	https://sanpetechamberofcommerce.org/	Official homepage dated June 4 2026 recaps a chamber talk by Dr. Roland Christensen and lists a UK chamber tour for September 2026; April 6 2026 presentation also posted.
savory-fund	active	2026-04-18	event	https://savoryfund.com/christina-tosi-to-headline-savory-funds-8th-annual-restaurantology-this-september/	Savory Fund April 18 2026 post schedules 8th annual Restaurantology this September with Christina Tosi; January 7 2026 NRN reprint named Clay Dover CEO.
sba-thrive	dormant	2023-04-13	release	https://www.sba.gov/article/2023/04/13/us-small-business-administration-announces-2023-application-thrive-executive-level-business-training	Last official SBA cycle is the archived April 13 2023 application (deadline April 30 2023); current sba.gov Thrive URLs 404 or redirect to generic counseling, and sbathrive.com now hosts unrelated casino content. No 2025 or 2026 cohort found. RUBRIC-GAP: program pages vanished without a sunset notice.
sba-utah-district-office	active	2026-09-17	event	https://www.sba.gov/district/utah	Utah District upcoming-events lists the Utah SBDC Employer Tax Workshop on Sep 17; Tax Commission page confirms Thursday September 17 2026. Office also lists an Aug 26 SBA mitigation session.
