utahn	active	2026-07-26	news	https://utahn.com/why-im-building-utahn/	Dated founder essay published 2026-07-26 on the live journal; sections index also lists stories through 2026-08-02.
utahquantum	active	2026-07-10	news	https://www.techbuzznews.com/utah-quantum-roundtable-3/	TechBuzz 2026-07-10 covers the 2026-06-29 state quantum roundtable where co-founder Sumit Parashar attended for UtahQuantum.org and offered the site to the state initiative; earlier independent launch coverage is 2025-11-26.
valar-atomics	active	2026-06-18	news	https://www.deseret.com/utah/2026/06/18/valar-atomics-goes-critical-in-utah/	Deseret News reports Ward 250 reached zero-power fueled criticality at Orangeville on 2026-06-18 under the DOE Reactor Pilot Program.
varda-space	active	2026-05-19	release	https://www.prnewswire.com/news-releases/varda-space-industries-successfully-reenters-w-6-validating-autonomous-navigation-and-advanced-thermal-protection-systems-302775804.html	Company PR dated 2026-05-19 announces W-6 capsule reentry at Koonibba, Australia, the second Varda reentry of 2026; work continues under the original name.
vector	active	2026-04-28	news	https://www.deseret.com/utah/2026/04/28/utah-company-vector-helping-america-keep-pace-in-military-drone-tech-race/	Deseret News 2026-04-28 reports from Vector's Bluffdale factory with photos dated 2026-04-24 of Hammer drone testing and assembly; ~100 employees.
vivint-smart-home	active	2026-08-04	release	https://investors.nrg.com/news-releases/news-release-details/nrg-energy-reports-second-quarter-2026-results-and-reaffirms	NRG Q2 2026 earnings release dated 2026-08-04 reports Vivint Smart Home Adjusted EBITDA of $301M for the quarter on higher new customer adds; work continues under NRG.
vuely	active	2026-04-16	news	https://whattheythink.com/articles/129983-isa-sign-expo-showcased-next-gen-signage-technology/	WhatTheyThink 2026-04-16 reports Vuely demonstrating AI mockup-and-proposal software in the Next Gen Tech Zone at ISA Sign Expo in Orlando (April 8-10, 2026).
wagevo	active	2026-06-13	release	https://apps.apple.com/us/app/wagevo/id6754396970	App Store listing for Wagevo Inc. shows version 1.0.15 dated Jun 13 (current-year display as of 2026-08-13); live employee app from a Provo fintech. LinkedIn hiring was not used as a signal.
wasatch-ionics	dormant	2024-07-11	award	https://www.sbir.gov/awards/209551	Army STTR Phase II W15QKN-24-C-0039 awarded 2024 (start 2024-07-11, scheduled end 2026-06-30); no website, no 2025-2026 news, filings, or dissolution found after the award record.
wave-inc	active	2026-07-15	release	https://www.einpresswire.com/article/926662611/wave-charging-and-ports-america-deploy-high-power-wireless-charging-system-at-the-port-of-los-angeles	Company PR dated 2026-07-15 announces a live Port of Los Angeles deployment: 12 wireless pads charging 10 RIDE electric yard tractors with Ports America.
wavetronix	active	2025-09-05	award	https://wwwcfprd.doa.louisiana.gov/osp/lapac/ecat/dsp_LagovContractDetail.cfm?Contract=4400033472&nStart=1&strSort=ITEM_DESCRIPTION&strSortType=2	Louisiana DOTD contract 4400033472 for Wavetronix radar detection systems is effective 2025-09-05 through 2026-09-04; Springville vendor of record with current sensor SKUs.
weave	active	2026-08-06	filing	https://www.sec.gov/Archives/edgar/data/1609151/000160915126000074/weav-20260630.htm	Form 10-Q for the quarter ended 2026-06-30, signed 2026-08-06, reports ongoing SaaS operations from Lehi HQ.
western-governors-university	active	2026-07-14	news	https://www.insidehighered.com/news/governance/executive-leadership/2026/07/14/western-governors-u-president-state-online-ed	Inside Higher Ed 2026-07-14 interviews President Scott Pulsipher at a new Washington, D.C. regional-office ribbon cutting; WGU still enrolling at national scale.
williams-international	active	2026-04-02	job-posting	https://www.williams-int.com/cnc-ogden-utah/	Company careers page for Ogden CNC machinist openings last updated 2026-04-02; press-release index also lists 2026-01-21 and 2026-01-23 items. Ogden plant work continues.
wordperfect	concluded	1994-06-27	terminal:acquired	https://www.deseret.com/1994/6/27/19117005/novell-wordperfect-tie-the-knot/	Deseret News 1994-06-27 reports Novell completed the acquisition of Orem-based WordPerfect Corp.; the Utah company's independent work ended. Corel still sells a WordPerfect Office 2021 SKU, last major version 2021.
workfront	active	2026-08-13	release	https://experienceleague.adobe.com/en/docs/workfront/using/product-announcements/product-releases/release-26-q4/26-q4-release-overview	Adobe Workfront Q4 2026 release notes (last update 2026-08-13) list monthly 26.8 fast-release features shipping 2026-08-13; product continues under Adobe.
xandem	dormant	2015-11-30	news	https://www.digitaltrends.com/home/xandem-home-security-system-indiegogo/	Last independent coverage is Digital Trends 2015-11-30 on the Xandem Home Indiegogo; NSF SBIRs are older. Homepage loads with no dated content (copyright 2025 only); no 2024-2026 news, jobs, filings, or dissolution found.
yesco	active	2025-11-13	official-page-dated	https://www.yesco.com/life-on-state-2025-neon/	YESCO project page timestamped 2025-11-13 documents fabrication of SLC Life on State 2025 Neon public-art signs; Salt Lake City Public Art Program page corroborates YESCO neon artists.
zaymo	active	2026-08-12	official-page-dated	https://zaymo.com	Company site dated 2026-08-12 publishes Heights case studies on in-email reviews and upsells; a 2026-07-22 YOCTO case study is also posted. YC jobs board is undated and was not used as the signal.
