hill-air-force-base.md	A	One of three Air Logistics Complexes and the only depot spanning the F-35, F-22, F-16, A-10, and Minuteman/Sentinel missions has hard-to-replicate infrastructure and workforce; its reach into airpower and nuclear deterrence is field-defining in either direction.
hope-squad.md	C	Peer gatekeeper training may help at thousands of schools, but adoption and effectiveness are insufficiently verified and the model lacks a distinctive mechanism likely to structurally change suicide prevention.
huntsman-cancer-institute.md	B	The Mountain West's comprehensive cancer center durably changes regional care, research, and training, while the unique genealogy instrument behind its most field-defining discoveries is correctly ranked separately.
huntsman-world-senior-games.md	D	The tournament creates deep joy for participants but stops at the event's walls and has no mechanism for permanent displacement beyond a replaceable annual festival.
hypercraft.md	C	A standardized 240-kW hybrid architecture with export power, lower signatures, $26M financing, and a defense co-development agreement is a credible wedge, but OEM adoption remains unproved and even success is bounded to one competing vehicle-propulsion platform.
imagine-learning.md	C	National curriculum deployment is substantive, but the page shows a roll-up of replaceable district products rather than a proprietary learning mechanism likely to reshape education outcomes.
imsar.md	B	Low-SWaP multimode radar manufactured in-house can put all-weather SAR and moving-target sensing on aircraft too small to carry legacy systems, a distinctive platform shift with major defense and civil reach; unnamed programs make this a cautious B.
inherent-biosciences.md	C	SpermQT's epigenetic functional signal could improve a poorly served fertility diagnostic pathway, with grant support and a commercial CLIA route making the bet credible, but unreported validation metrics and a bounded clinical niche cap it.
innosys.md	C	MEMS-fabricated vacuum electronics operating at extreme heat and radiation offer a distinctive path for Venus, radar, and nuclear applications, but decades of federal R&D without a verified fielded design-in keep this at substantive specialist potential.
instructure.md	B	Canvas durably organizes assignments, grading, and third-party integrations across much of U.S. higher education, giving one product roadmap structural influence over the sector even with viable migration alternatives.
intactis-bio.md	C*	Pure impact is D: a $250K pre-proof living-neuron compute demonstration trails better-validated peers and has no benchmark advantage; the one-step star is earned because the page's biochip alpha and silicon comparison make this an unusually revealing frontier bet.
intan-technologies.md	B	Off-the-shelf low-noise, high-channel neural front ends replaced years of custom electronics across systems-neuroscience labs, a durable enabling platform whose depth and downstream BCI leverage outweigh its narrow audience.
intergalactic.md	C	Compact thermal systems may unlock payload mass and power across aerospace, but no named flight program, production volume, or independently verified advantage establishes a company-specific path beyond a capable component supplier.
interval-ai.md	D	Multilingual autonomous collections may let tiny teams replace call-center labor, but the effect is bounded to accelerating existing receivables in a crowded, low-switching-cost category with unresolved compliance risk.
ionic-mt.md	B	A large owned and leased halloysite resource, natural nanotube feedstock, vertical processing, and multiple co-products create a company-specific path to domestic silicon-anode supply; cell qualification is unresolved, but this is more than a generic battery-market claim.
iris-biomedical.md	B	ISO-grade flexible electrodes, hermetic packaging, and custom implant manufacturing are scarce capabilities that let neural-interface programs reach trials without building fabs; the specialized process base can compound with the BCI field even though alternative shops exist.
jobnimbus.md	C	A scaled vertical operating system for contractors is substantive, but its CRM, payments, and workflow bundle has no mechanism for displacement beyond customers choosing one vendor over another.
jump-aero.md	D	A first-responder eVTOL could transform rural emergency response, but the page shows no funding, certification milestone, flight result, or active Utah deployment that makes this company's route to that prize estimable.
keva-locks.md	D	Offline smart locks have a plausible product wedge, but no deployment scale, security evaluation, or resolved credential-revocation design supports impact beyond early pilots.
l3harris-salt-lake.md	B	Thousands of engineers producing fielded Falcon radios and SATCOM systems form durable communications infrastructure for allied militaries; enormous consequence is clear, while the Utah operation does not itself set the global frontier.
leland.md	D	A coaching marketplace can expand access for paying applicants, but unverified outcomes and abundant substitute coaches leave no durable sector-level counterfactual.
les-olson-it.md	D	A large regional managed-service provider creates continuity and jobs but no scarce capability that would survive as a meaningful counterfactual if its contracts moved elsewhere.
liveview-technologies.md	C	Fifteen thousand solar surveillance units and real-time-crime-center integration create consequential monitoring capacity, but the deployment model is mature and the page shows execution scale rather than a distinctive route to control the security sector.
lucid-software.md	C	Lucid helped normalize collaborative diagramming, but its current visual-workflow products remain readily substitutable and lack a company-specific asset likely to produce permanent sector change.
mastercontrol.md	C	Decades of GxP validation knowledge and 1,100 regulated customers form a strong moat, but the ceiling remains one of several quality-system vendors encoding the same compliance workflows rather than a new regulatory infrastructure.
merit-medical.md	B	Qualification history, precision manufacturing, and a broad portfolio consumed across minimally invasive procedures make Merit load-bearing clinical infrastructure; competing suppliers cap the frontier claim but cannot instantly reproduce its lines.
music-ai.md	B	Fifty million users supply a deployment wedge for licensed voice cloning and consent-and-royalty infrastructure; if Music AI turns artist relationships into the standard interface between models and rights holders, it can structurally shape AI music despite commoditizing source separation.
mx-technologies.md	C	Open-banking connectivity and standards participation matter at scale, but Plaid and Finicity expose the same rails and the page shows no distinctive asset likely to give MX disproportionate control of consumer-data portability.
myriad-genetics.md	B	Present-day variant interpretation, laboratory, payer, and provider infrastructure changes clinical screening and treatment decisions at population scale, while the field-defining BRCA discovery and patent consequences are ranked separately.
