kiln.md	D	Premium coworking duplicated by national flex-office operators, so counterfactual displacement on Utah startups is near zero.
kinect-capital.md	D	Mentor-driven pitch prep duplicated by SBDC, angels, and other accelerators, so counterfactual is modest fundraising polish.
lialaunch.md	D	Niche women-founder advisory among many impact and angel pathways, so counterfactual on capital access is near zero.
logan-city-economic-development.md	D	Municipal EDO duplicated by county chambers and GOEO statewide, so counterfactual stops at Cache Valley walls.
make-salt-lake.md	D	SLC makerspace duplicated by Make Utah and commercial shops, so counterfactual on hardware prototyping is near zero.
make-utah.md	D	Hard-tech incubator duplicated by other Wasatch Front prototyping spaces, so counterfactual is local peer community only.
maven-create.md	D	Downtown coworking among dozens of desk providers, so counterfactual on founder outcomes is near zero.
mercato-partners.md	C	$1B growth PE deploys real capital at scale, yet other regional and national funds are close substitutes if Mercato vanished.
military-installation-development-authority.md	D	Narrow state project-area authority affects only legislatively authorized military-adjacent sites, so breadth is bounded and non-substitutable cases are rare.
moab-chamber-of-commerce.md	D	Grand County chamber networking duplicated by every other rural chamber pattern, so counterfactual stops at county walls.
monarch.md	D	Ogden creative-hub studios serve local artists who would notice absence, but displacement stops at the Nine Rails district.
monticello-coworking-space.md	D	Rural coworking gives San Juan County desks members would miss, yet negligible world-scale displacement and no caused companies.
morgan-chamber-of-commerce.md	F [FLAG: dead parked domain; organization status unverifiable]	Parked GoDaddy lander with no programs or contact corroborated, so there are no checkable bounds to estimate.
morgan-county-economic-development.md	D	County ED portal duplicated by every other rural county government page, so counterfactual stops at Morgan County walls.
mountain-heights-academy.md	C [BOUNDARY: C vs D]	864-student OER charter with documented 2010 CC-BY release history, yet other online charters and curriculum vendors substitute nationally.
mountainland-association-of-governments.md	D	Regional AOG planning duplicated by COGs nationwide, so counterfactual on business outcomes is near zero.
mountain-land-association-of-governments-revolving-loan-fund-rlf.md	D	$10k–$100k regional RLF duplicated by CDFIs and bank gap financing, so counterfactual is modest local job-bridge lending.
northern-utah-dotnet-users-group.md	D	Monthly dev meetup duplicated by Lehi meetups and online communities, so counterfactual on skill-building is near zero.
northern-utah-economic-alliance.md	D	Two-county site-selection marketing duplicated by Davis and Weber EDOs, so counterfactual stops at northern Utah relocations.
nucleus-fund.md	D	University deep-tech fund among many seed and translational capital paths, so counterfactual on which spinouts get funded is near zero.
nucleus-grow.md	C [BOUNDARY: C vs D]	Statewide official SBIR/STTR consultation path before dilution, yet private SBIR consultants and other states' programs substitute.
nucleus-marketedge.md	D	Faculty commercialization cohort duplicated by I-Corps and university tech-transfer offices, so counterfactual is early market-discovery acceleration only.
ogden-weber-chamber-of-commerce.md	D	Large Weber County chamber duplicated by every other county chamber, so counterfactual is local networking only.
orem-library-makerspace.md	D	Public library maker tools duplicated by other library labs and paid makerspaces, so counterfactual on prototyping is near zero.
pacific-island-chamber-of-commerce-picc.md	D	Culturally grounded PI entrepreneur chamber duplicated by SBDC and minority business centers, so counterfactual depth stays in two counties.
park-city-angels.md	D	Angel throughput does not cause portfolio companies; other angel groups and seed funds substitute nationally.
park-city-chamber-of-commerce.md	D	Resort chamber marketing duplicated by every mountain-town chamber, so counterfactual stops at Summit County tourism employers.
pelion-ventures.md	C	Three-decade Utah VC with Cloudflare and Weave in the portfolio deploys real seed capital, yet Kickstart and other regional funds substitute.
peterson-ventures.md	C	Established seed VC with Allbirds and Lucid in the portfolio deploys real capital, yet dozens of national seed funds substitute.
pitted-ventures.md	F [FLAG: official site returns 403; operations unverified]	Live domain blocked and current fund activity uncorroborated, so there are no checkable bounds to estimate.
portal-warehousing.md	D	Flexible co-warehousing lease duplicated by 3PLs and industrial landlords, so counterfactual on e-commerce fulfillment is near zero.
primary-childrens-hospital.md	C [BOUNDARY: C vs D]	Multi-state pediatric referral center at real clinical scale, yet national children's hospitals substitute for complex cases.
r6-regional-council.md	D	Six-county regional AOG duplicated by COGs nationwide, so counterfactual on central Utah business outcomes is near zero.
red-rock-angels.md	D	Southern Utah angel group duplicated by Wasatch Front angels and seed VCs, so counterfactual on capital access is near zero.
renewable-tech-ventures.md	D	Cleantech VC among specialized energy funds nationally, so counterfactual on which cleantech companies fund is near zero.
revolving-loan-fund-program-rlf-r6.md	F [FLAG: dedicated program page 404; loan terms unverified]	Program URL dead and loan sizes and rates unconfirmed with staff, so bounds cannot be estimated from evidence.
revolving-loan-fund-program-rlf-south-eastern-utah.md	F [FLAG: SEUALG site unreachable; program terms unverified]	Agency site auth-gated and program terms uncaptured, so there are no checkable bounds to estimate.
revroad.md	D [BOUNDARY: D vs F]	Venture-services fund closed to new investments, so counterfactual for founders seeking open capital today is near zero.
richfield-chamber-of-commerce.md	D	Sevier County chamber with published tiers duplicated by every rural chamber, so counterfactual stops at county walls.
rural-utah-chamber-coalition.md	D	Meta-coalition training rural chamber executives rather than displacing business outcomes directly, so counterfactual is near zero.
safeut.md	B [BOUNDARY: B vs C]	Statutory statewide crisis and school-tip infrastructure with 24k+ annual chats; 988 partially substitutes but not school-integrated reporting permanence.
salina-chamber.md	F [FLAG: Startup State URL is city government site; entity conflated with North Sevier Chamber]	Listing points to salina.utah.gov not a chamber homepage and 1,200-member claim is uncorroborated, so entity bounds are unestimable.
