apa-sherpa-everest-summits.md	C*	Twenty-one ascents is depth in a discipline of a few thousand, the record itself was broken in 2018 and stands at 30 today, so permanence is zero and the displacement is the retirement-to-fund-schools turn rather than the climbing; hype tier per the anchor set.
army-short-range-reconnaissance-uas.md	C	Breadth is real (16-plus brigades fielded) but the counterfactual is thin: Teal is one of two selected vendors in a multi-vendor tranche of the most commoditized hardware category in defense, so removing the Salt Lake line moves procurement share and not capability. [FLAG: shadows the venture page teal-drones.md; the atom is titled as an Army program of record but the page's substance is one vendor's manufacturing role, so the same displacement is counted twice]
arpanet-fourth-node.md	A	The internet is S but this atom is Utah being node four, whose counterfactual is a different university receiving a number; ranked A per the anchor set on the strength of belonging to the original test rather than a later add-on.
atmospheric-waves-experiment.md	C	Depth is genuine — five million images of gravity-wave structure that did not exist before — but the page's own Open Questions concede no peer-reviewed result yet establishes improved upper-atmosphere models, and a single ISS instrument is replaceable by the next heliophysics mission, which caps it below the Space Dynamics Laboratory page it is a mission of. [BOUNDARY: C vs B]
autonomous-low-collateral-counter-uas-interception.md	C	Counter-UAS has large bounds, but every capture and deployment number here is company-reported and unaudited (the page says so four times), and Anduril, DroneShield and Dedrone are close substitutes in the same architecture, so the replaceability test lands it at C rather than the unverifiability floor. [FLAG: shadows the venture page fortem-technologies.md — same product, same displacement, two pages]
bingham-canyon-mine.md	S	Copper that electrified a country plus a mass-mining template now standard at every large open-pit mine on earth gives total breadth, and the 1.2 km pit and contaminated aquifer are permanent in both directions; ranked on magnitude per the anchor set.
browning-firearms-designs.md	S	The M1911 pattern, the BAR and the M2 are still in service on every continent a century after design, so breadth is total and permanence is a hundred years of unmodified mechanisms; the counterfactual is partial (Maxim, Mauser and others were converging) and the bounds run enormously in both directions, which is a question of size, not of good vs. bad. [BOUNDARY: S vs A]
capecchi-gene-targeting.md	S	The knockout mouse is in every mammalian genetics lab on earth and is the substrate of modern disease modeling, so breadth is total and the counterfactual is partial across three Nobel co-recipients; ranked S per the anchor set.
conotoxins-and-prialt.md	A	Olivera's lab founded venom-peptide pharmacology and conotoxins are now standard probes for sodium, calcium, nAChR and NMDA channels in ion-channel labs worldwide, which is a discipline-defining reagent library with a near-total counterfactual; Prialt itself is a narrow intrathecal drug, so the tier rests on the toolkit rather than the molecule. [BOUNDARY: A vs B]
dugway-proving-ground.md	B	One of very few US sites with the land, containment and instrumentation to field-test CBRN protection at scale, so it is an enabler that is itself hard to replace, and the open-air offensive-era testing gives it large bounds in the other direction; held at B rather than A because the page quantifies nothing and concedes that classification makes outside assessment incomplete. [BOUNDARY: B vs A]
eimco-rocker-shovel-loader.md	B	Roughly 29,000 units with licensed manufacture in four countries mechanized the worst job in underground hard-rock mining across six continents, so mid-century breadth was near-total and the counterfactual strong (first successful machine in the category) — but permanence fails, because load-haul-dump machines superseded the rocker shovel entirely and nothing today runs on it. [BOUNDARY: B vs A]
evans-and-sutherland.md	A	The first commercial computer-graphics company created the real-time image generator as a product category and supplied the visual systems that trained military and commercial pilots for two decades, which is the frontier of a global industry set by one firm; the Catmull/Warnock/Clark diaspora is deliberately not counted here because it belongs to the utah-computer-graphics-program atom. [BOUNDARY: A vs B]
golden-spike-transcontinental-railroad.md	S	Cross-country transit compressed from months to a week permanently reordered the economics and settlement of the American West, with bounds running hard the other way through Indigenous dispossession; ranked S per the anchor set.
harvey-fletcher-stereophonic-sound.md	S	Stereo is in every recording, soundtrack and pair of headphones on earth and the psychoacoustics underneath it is the basis of audio engineering and clinical audiometry, so breadth and permanence are total; the counterfactual is partial because Blumlein was independently patenting stereo at EMI in 1931 — the same shape as capecchi-gene-targeting, and ranked as the invention the page is named for per ruling 1's sub-ruling on work done outside Utah. [BOUNDARY: S vs A]
help-clinical-decision-support-system.md	A	Executable medical logic delivering alerts and protocols inside live hospital care, a decade before anyone assumed a hospital computer should do more than billing, set the frontier of clinical decision support and is now in effectively every hospital on earth; the counterfactual is a share rather than the whole, because Regenstrief, the VA and Brigham were building in parallel and the page says so. [BOUNDARY: A vs B]
high-density-sustainable-aviation-fuels.md	C	The differentiating claim — energy density above Jet A — is exactly the part that is company-reported, still unqualified by ASTM, and had its headline number stripped from this page for lack of support, so the ceiling is not the decarbonized-long-haul story but the checkable residue: a commissioned facility and up-to-90-million-gallon offtake in a market where Neste, LanzaJet and Gevo are close substitutes. [FLAG: the atom bundles two separate companies that already have their own pages, cleanjoule.md and cyclokinetics.md, under a technology heading]
h-tracy-hall-diamond-presses.md	A	Most of the world's industrial diamond powder is still pressed on descendants of the cubic design, which is total breadth and living permanence, and the tier sits at A rather than S only because the page scopes its own atom to the Utah press work and states the first synthesis happened at GE.
intermountain-clinical-quality-improvement.md	A	Treating care delivery as a measurable engineered process, then exporting the method through the ATP to thousands of trained leaders and dozens of sister programs in over ten countries, made the learning-health-system idea operational rather than theoretical; ranked A per the anchor set, with the caveat that the strongest published evidence is associational within one system.
flys-eye-hires-cosmic-rays.md	A	Fly's Eye proved the atmospheric-fluorescence technique that every ultra-high-energy cosmic-ray observatory since — Auger, Telescope Array — is built on, and HiRes turned the GZK cutoff from prediction into observed spectral feature, so this is depth-over-breadth field definition in ruling 6's sense; the counterfactual is partial because Auger measured the suppression independently and near-contemporaneously. [BOUNDARY: A vs B]
